category_large,category_medium,category_small,recommendation_fit,physical_activity,mental_activity,gender_work,price,obstacle,collective,time_consuming,weather_affected,health,growth,creativity,period,generation,season,feeling,classification
여가,여행/탐방/방문,페스티벌 놀러가기,1,2,0,0,2,2,0,3,1,0,0,0,0,0,0,1,5
여가,여행/탐방/방문,별 보러 가기,1,2,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0
여가,여행/탐방/방문,관광지 여행가기,1,2,0,0,1,2,0,4,1,0,0,0,0,0,0,1,2
여가,여행/탐방/방문,호캉스 즐기기,1,1,0,0,3,2,0,4,0,0,0,0,0,0,0,1,5
여가,여행/탐방/방문,원데이 클래스 가기,1,2,2,0,3,2,0,3,1,0,0,1,0,0,0,1,0
여가,여행/탐방/방문,성심당 방문하기,1,2,0,0,0,1,0,2,1,0,0,0,0,0,0,1,2
여가,여행/탐방/방문,한강에서 라면 끓여먹기,1,1,1,0,1,1,0,2,1,0,0,0,0,0,0,1,2
여가,여행/탐방/방문,광안리에서 바닷풍경 보기,1,1,0,0,0,1,0,3,1,0,0,0,0,0,0,1,2
여가,여행/탐방/방문,여수 밤바다 보러가기,1,1,0,0,0,1,0,3,1,0,0,0,0,0,0,1,2
여가,여행/탐방/방문,불꽃놀이 보러 가기,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0
여가,여행/탐방/방문,템플 스테이,0,2,1,0,3,2,0,4,1,0,0,0,0,0,0,0,5
여가,온라인,컴퓨터 게임 하기,0,0,3,0,0,1,0,3,0,0,0,2,2,4,0,1,0
여가,온라인,SNS 활동 하기,0,0,1,0,0,1,0,2,0,0,0,1,4,4,0,0,0
여가,온라인,휴대폰 게임 하기,0,0,2,0,0,1,0,2,0,0,0,2,3,4,0,1,0
여가,온라인,웹 서핑,1,0,1,0,0,1,0,2,0,0,0,1,4,0,0,0,0
여가,운동,축구 하기,1,4,2,0,1,2,2,3,1,2,2,1,1,4,0,4,3
여가,운동,야구 하기,0,4,2,0,1,2,2,3,1,2,2,1,1,4,0,4,3
여가,운동,농구 하기,1,4,2,0,1,2,2,3,1,2,2,1,1,4,0,4,3
여가,운동,배구 하기,1,4,2,0,1,2,2,3,1,2,2,1,1,4,0,4,3
여가,운동,풋살 하기,1,4,2,0,2,2,2,3,1,2,2,1,1,4,0,4,3
